date,counts
2019-12-20,0.44390243902439025
2019-12-23,0.8878048780487805
2019-12-27,0.44390243902439025
2020-01-08,0.44390243902439025
2020-01-13,0.44390243902439025
2020-01-14,1.3317073170731708
2020-01-15,0.8878048780487805
2020-01-16,1.3317073170731708
2020-01-17,0.8878048780487805
2020-01-20,2.6634146341463416
2020-01-21,1.3317073170731708
2020-01-22,0.44390243902439025
2020-01-23,2.2195121951219514
2020-01-27,0.44390243902439025
2020-01-28,0.8878048780487805
2020-01-29,0.8878048780487805
2020-01-30,0.8878048780487805
2020-01-31,0.44390243902439025
2020-02-03,2.6634146341463416
2020-02-04,1.775609756097561
2020-02-10,0.44390243902439025
2020-02-11,1.3317073170731708
2020-02-13,0.44390243902439025
2020-02-14,0.44390243902439025
2020-02-17,1.775609756097561
2020-02-18,0.44390243902439025
2020-02-19,0.44390243902439025
2020-02-20,1.775609756097561
2020-02-24,1.3317073170731708
2020-02-25,2.2195121951219514
2020-02-26,1.3317073170731708
2020-02-27,0.44390243902439025
2020-02-28,0.44390243902439025
2020-03-02,0.44390243902439025
2020-03-03,2.6634146341463416
2020-03-04,1.775609756097561
2020-03-05,1.3317073170731708
2020-03-06,0.8878048780487805
2020-03-09,0.8878048780487805
2020-03-10,0.8878048780487805
2020-03-16,0.8878048780487805
2020-03-17,0.44390243902439025
2020-03-18,0.44390243902439025
2020-03-19,1.775609756097561
2020-03-20,1.3317073170731708
2020-03-24,0.8878048780487805
2020-03-25,1.775609756097561
2020-03-26,1.3317073170731708
2020-03-27,0.8878048780487805
2020-03-30,0.44390243902439025
2020-03-31,0.44390243902439025
2020-04-01,0.44390243902439025
2020-04-03,0.44390243902439025
2020-04-08,0.44390243902439025
2020-04-09,0.8878048780487805
2020-04-14,0.8878048780487805
2020-04-15,0.44390243902439025
2020-04-16,0.44390243902439025
2020-04-17,1.3317073170731708
2020-04-20,0.44390243902439025
2020-04-21,2.2195121951219514
2020-04-23,0.44390243902439025
2020-04-24,0.44390243902439025
2020-04-27,2.2195121951219514
2020-04-29,2.2195121951219514
2020-05-04,0.8878048780487805
2020-05-05,0.44390243902439025
2020-05-11,0.44390243902439025
2020-05-12,0.44390243902439025
2020-05-14,0.8878048780487805
2020-05-18,0.8878048780487805
2020-05-19,0.44390243902439025
2020-05-20,0.44390243902439025
2020-05-22,0.8878048780487805
2020-05-27,0.8878048780487805
2020-05-28,0.8878048780487805
2020-05-29,0.8878048780487805
2020-06-03,0.44390243902439025
2020-06-04,0.44390243902439025
2020-06-05,0.8878048780487805
2020-06-08,0.44390243902439025
2020-06-10,0.8878048780487805
2020-06-11,2.2195121951219514
2020-06-12,0.8878048780487805
2020-06-15,0.8878048780487805
2020-06-16,1.775609756097561
2020-06-17,1.3317073170731708
2020-06-22,0.44390243902439025
2020-06-23,0.44390243902439025
2020-06-24,0.44390243902439025
2020-06-25,0.8878048780487805
2020-06-26,0.44390243902439025
2020-06-29,1.775609756097561
2020-06-30,1.775609756097561
2020-07-02,1.775609756097561
2020-07-03,1.775609756097561
2020-07-06,1.775609756097561
2020-07-07,0.44390243902439025
2020-07-09,1.3317073170731708
2020-07-10,0.44390243902439025
2020-07-17,0.44390243902439025
2020-07-20,0.8878048780487805
2020-07-21,0.8878048780487805
2020-07-22,0.44390243902439025
2020-07-23,1.3317073170731708
2020-07-24,0.44390243902439025
2020-07-27,0.44390243902439025
2020-07-28,0.44390243902439025
2020-08-04,0.44390243902439025
2020-08-07,0.44390243902439025
2020-08-10,0.44390243902439025
2020-08-13,0.8878048780487805
2020-08-14,0.44390243902439025
2020-08-17,1.3317073170731708
2020-08-19,0.44390243902439025
2020-08-20,0.44390243902439025
2020-08-21,0.8878048780487805
2020-08-25,0.44390243902439025
2020-08-28,0.8878048780487805
2020-09-01,0.8878048780487805
2020-09-03,1.3317073170731708
2020-09-04,0.8878048780487805
2020-09-07,0.44390243902439025
2020-09-08,0.8878048780487805
2020-09-09,0.44390243902439025
2020-09-11,0.8878048780487805
2020-09-14,1.3317073170731708
2020-09-15,0.8878048780487805
2020-09-16,1.775609756097561
2020-09-17,1.3317073170731708
2020-09-18,1.775609756097561
2020-09-21,0.8878048780487805
2020-09-22,1.3317073170731708
2020-09-23,1.3317073170731708
2020-09-24,1.3317073170731708
2020-09-25,0.8878048780487805
2020-09-29,0.44390243902439025
2020-09-30,1.3317073170731708
2020-10-02,0.8878048780487805
2020-10-05,1.775609756097561
2020-10-06,0.8878048780487805
2020-10-07,1.3317073170731708
2020-10-12,0.8878048780487805
2020-10-13,0.8878048780487805
2020-10-14,1.775609756097561
2020-10-16,0.8878048780487805
2020-10-19,3.551219512195122
2020-10-20,1.3317073170731708
2020-10-21,1.775609756097561
2020-10-22,0.44390243902439025
2020-10-26,1.3317073170731708
2020-10-29,0.44390243902439025
2020-11-02,0.8878048780487805
2020-11-03,1.3317073170731708
2020-11-04,1.3317073170731708
2020-11-05,1.3317073170731708
2020-11-06,2.6634146341463416
2020-11-09,0.44390243902439025
2020-11-11,1.775609756097561
2020-11-12,0.44390243902439025
2020-11-13,1.3317073170731708
2020-11-16,0.44390243902439025
2020-11-17,0.44390243902439025
2020-11-18,0.44390243902439025
2020-11-19,0.8878048780487805
2020-11-20,1.3317073170731708
2020-11-24,0.44390243902439025
2020-11-25,0.8878048780487805
2020-11-26,0.8878048780487805
2020-11-27,1.3317073170731708
2020-11-30,0.8878048780487805
2020-12-01,0.44390243902439025
2020-12-02,3.107317073170732
2020-12-03,0.8878048780487805
2020-12-04,0.44390243902439025
2020-12-08,0.44390243902439025
2020-12-09,0.8878048780487805
2020-12-10,0.44390243902439025
2020-12-11,0.44390243902439025
2020-12-16,0.44390243902439025
2020-12-17,1.3317073170731708
2020-12-21,1.3317073170731708
2020-12-22,0.44390243902439025
2020-12-23,0.8878048780487805
2020-12-28,0.44390243902439025
2020-12-30,1.775609756097561
2021-01-04,0.44390243902439025
2021-01-05,0.44390243902439025
2021-01-07,0.8878048780487805
2021-01-08,1.775609756097561
2021-01-11,0.44390243902439025
2021-01-12,0.44390243902439025
2021-01-14,0.8878048780487805
2021-01-15,1.775609756097561
2021-01-18,1.3317073170731708
2021-01-19,1.3317073170731708
2021-01-20,0.44390243902439025
2021-01-21,0.44390243902439025
2021-01-22,1.3317073170731708
2021-01-25,0.8878048780487805
2021-01-27,0.8878048780487805
2021-01-28,1.3317073170731708
2021-01-29,2.2195121951219514
2021-02-01,1.3317073170731708
2021-02-03,0.44390243902439025
2021-02-04,0.44390243902439025
2021-02-05,1.775609756097561
2021-02-08,0.8878048780487805
2021-02-09,2.2195121951219514
2021-02-11,1.3317073170731708
2021-02-12,2.6634146341463416
2021-02-17,0.8878048780487805
2021-02-18,0.44390243902439025
2021-02-19,1.3317073170731708
2021-02-22,0.44390243902439025
2021-02-23,0.8878048780487805
2021-02-24,0.8878048780487805
2021-02-26,0.44390243902439025
2021-03-01,0.44390243902439025
2021-03-05,0.44390243902439025
2021-03-08,0.44390243902439025
2021-03-09,0.8878048780487805
2021-03-10,1.3317073170731708
2021-03-11,1.3317073170731708
2021-03-12,2.2195121951219514
2021-03-15,0.44390243902439025
2021-03-16,1.3317073170731708
2021-03-17,0.8878048780487805
2021-03-18,0.8878048780487805
2021-03-19,0.8878048780487805
2021-03-22,0.44390243902439025
2021-03-23,0.8878048780487805
2021-03-25,0.8878048780487805
2021-03-26,0.8878048780487805
2021-03-29,2.2195121951219514
2021-03-30,0.44390243902439025
2021-03-31,0.8878048780487805
2021-04-01,0.44390243902439025
2021-04-06,2.6634146341463416
2021-04-07,0.8878048780487805
2021-04-08,0.44390243902439025
2021-04-09,1.3317073170731708
2021-04-12,1.3317073170731708
2021-04-13,1.3317073170731708
2021-04-14,0.44390243902439025
2021-04-15,0.8878048780487805
2021-04-16,0.44390243902439025
2021-04-19,0.8878048780487805
2021-04-20,0.44390243902439025
2021-04-21,1.3317073170731708
2021-04-22,1.3317073170731708
2021-04-23,1.3317073170731708
2021-04-26,1.775609756097561
2021-04-27,1.3317073170731708
2021-04-28,0.8878048780487805
2021-05-03,0.44390243902439025
2021-05-04,0.8878048780487805
2021-05-05,0.44390243902439025
2021-05-06,1.3317073170731708
2021-05-07,1.3317073170731708
2021-05-10,0.44390243902439025
2021-05-11,1.3317073170731708
2021-05-14,0.8878048780487805
2021-05-17,0.8878048780487805
2021-05-18,0.44390243902439025
2021-05-19,0.8878048780487805
2021-05-21,1.3317073170731708
2021-05-24,1.3317073170731708
2021-05-25,1.3317073170731708
2021-05-26,1.3317073170731708
2021-05-27,1.775609756097561
2021-05-31,0.44390243902439025
2021-06-01,0.44390243902439025
